SO2监测浓度(μg/m³),NO2监测浓度(μg/m³),PM10监测浓度(μg/m³),PM2.5监测浓度(μg/m³),O3最大八小时滑动平均监测浓度(μg/m³),CO监测浓度(mg/m³),IAQI1,IAQI2,IAQI3,IAQI4,IAQI5,IAQI6,AQI
7,27,49,36,200,0.8,43.0,16.0,1.0,99.0,114.0,30.0,114.0
7,34,45,33,195,0.8,43.0,8.0,5.0,3.0,118.0,30.0,118.0
5,17,39,21,120,0.6,45.0,29.0,11.0,20.0,83.0,35.0,83.0
5,25,31,17,68,0.6,45.0,19.0,19.0,26.0,16.0,35.0,45.0
4,36,33,21,28,0.9,46.0,5.0,17.0,20.0,36.0,28.0,46.0
4,27,28,14,21,0.9,46.0,16.0,22.0,30.0,40.0,28.0,46.0
6,50,52,29,45,1.1,44.0,88.0,99.0,9.0,28.0,22.0,99.0
5,57,71,43,85,1.2,45.0,79.0,90.0,90.0,8.0,20.0,90.0
5,22,23,10,65,1.0,45.0,22.0,27.0,36.0,18.0,25.0,45.0
6,44,48,23,36,1.0,44.0,95.0,2.0,17.0,32.0,25.0,95.0
4,44,63,42,6,1.3,46.0,95.0,94.0,91.0,47.0,18.0,95.0
4,43,57,40,18,1.1,46.0,96.0,96.0,94.0,41.0,22.0,96.0
4,43,32,21,36,0.9,46.0,96.0,18.0,20.0,32.0,28.0,96.0
4,32,30,15,36,1.2,46.0,10.0,20.0,29.0,32.0,20.0,46.0
4,52,52,28,22,1.1,46.0,85.0,99.0,10.0,39.0,22.0,99.0
5,50,66,42,125,0.9,45.0,88.0,92.0,91.0,79.0,28.0,92.0
5,28,54,31,111,0.8,45.0,15.0,98.0,6.0,91.0,30.0,98.0
5,36,45,23,102,0.7,45.0,5.0,5.0,17.0,98.0,32.0,98.0
6,49,72,48,206,0.9,44.0,89.0,89.0,84.0,108.0,28.0,108.0
5,46,56,40,136,0.9,45.0,92.0,97.0,94.0,70.0,28.0,97.0
5,31,56,39,157,0.9,45.0,11.0,97.0,95.0,52.0,28.0,97.0
5,26,45,28,125,0.7,45.0,18.0,5.0,10.0,79.0,32.0,79.0
5,29,50,29,111,0.7,45.0,14.0,100.0,9.0,91.0,32.0,100.0
4,33,50,27,95,0.7,46.0,9.0,100.0,11.0,2.0,32.0,100.0
4,28,40,25,66,0.6,46.0,15.0,10.0,14.0,17.0,35.0,46.0
4,25,35,16,77,0.6,46.0,19.0,15.0,27.0,12.0,35.0,46.0
3,23,33,17,55,0.9,47.0,21.0,17.0,26.0,22.0,28.0,47.0
3,21,77,29,83,0.8,47.0,24.0,86.0,9.0,8.0,30.0,86.0
7,57,128,41,40,0.9,43.0,79.0,61.0,92.0,30.0,28.0,92.0
4,61,94,49,78,1.0,46.0,74.0,78.0,82.0,11.0,25.0,82.0
7,70,100,56,185,1.1,43.0,62.0,75.0,74.0,127.0,22.0,127.0
5,25,51,20,120,0.6,45.0,19.0,100.0,21.0,83.0,35.0,100.0
4,34,56,23,105,0.8,46.0,8.0,97.0,17.0,96.0,30.0,97.0
6,34,58,28,119,0.9,44.0,8.0,96.0,10.0,84.0,28.0,96.0
3,19,34,12,56,0.7,47.0,26.0,16.0,33.0,22.0,32.0,47.0
2,12,30,10,80,0.7,48.0,35.0,20.0,36.0,10.0,32.0,48.0
1,12,27,9,55,0.6,49.0,35.0,23.0,37.0,22.0,35.0,49.0
2,12,25,7,51,0.6,48.0,35.0,25.0,40.0,24.0,35.0,48.0
4,17,29,12,61,0.7,46.0,29.0,21.0,33.0,20.0,32.0,46.0
7,25,40,18,88,0.8,43.0,19.0,10.0,24.0,6.0,30.0,43.0
4,25,49,21,47,1.0,46.0,19.0,1.0,20.0,26.0,25.0,46.0
4,32,52,28,67,1.1,46.0,10.0,99.0,10.0,16.0,22.0,99.0
6,43,82,49,259,1.2,44.0,96.0,84.0,82.0,156.0,20.0,156.0
4,23,48,27,122,0.9,46.0,21.0,2.0,11.0,82.0,28.0,82.0
3,36,33,15,67,0.9,47.0,5.0,17.0,29.0,16.0,28.0,47.0
4,41,35,18,51,1.1,46.0,99.0,15.0,24.0,24.0,22.0,99.0
5,48,56,28,130,1.0,45.0,90.0,97.0,10.0,75.0,25.0,97.0
5,24,40,16,151,0.7,45.0,20.0,10.0,27.0,58.0,32.0,58.0
4,31,44,17,107,0.8,46.0,11.0,6.0,26.0,94.0,30.0,94.0
6,25,44,20,153,1.0,44.0,19.0,6.0,21.0,56.0,25.0,56.0
4,18,34,465,83,0.7,46.0,28.0,16.0,423.0,8.0,32.0,423.0
3,25,32,15,65,0.4,47.0,19.0,18.0,29.0,18.0,40.0,47.0
3,44,33,17,42,0.7,47.0,95.0,17.0,26.0,29.0,32.0,95.0
3,41,33,16,28,0.8,47.0,99.0,17.0,27.0,36.0,30.0,99.0
3,30,83,37,146,0.6,47.0,12.0,84.0,98.0,62.0,35.0,98.0
4,33,103,39,141,0.5,46.0,9.0,74.0,95.0,66.0,38.0,95.0
6,42,70,32,148,0.6,44.0,98.0,90.0,4.0,60.0,35.0,98.0
7,30,61,23,163,0.5,43.0,12.0,94.0,17.0,147.0,38.0,147.0
8,30,64,29,156,0.6,42.0,12.0,93.0,9.0,53.0,35.0,93.0
8,26,62,33,193,0.7,42.0,18.0,94.0,3.0,120.0,32.0,120.0
5,13,36,15,105,0.5,45.0,34.0,14.0,29.0,96.0,38.0,96.0
4,26,35,17,80,0.6,46.0,18.0,15.0,26.0,10.0,35.0,46.0
4,41,31,14,39,0.6,46.0,99.0,19.0,30.0,30.0,35.0,99.0
4,55,37,22,18,0.6,46.0,81.0,13.0,19.0,41.0,35.0,81.0
4,40,26,19,6,0.9,46.0,100.0,24.0,23.0,47.0,28.0,100.0
5,40,43,17,124,0.8,45.0,100.0,7.0,26.0,80.0,30.0,100.0
10,59,80,49,296,1.0,40.0,76.0,85.0,82.0,294.0,25.0,294.0
6,21,53,34,188,0.9,44.0,24.0,98.0,1.0,125.0,28.0,125.0
5,26,42,29,106,0.8,45.0,18.0,8.0,9.0,95.0,30.0,95.0
3,26,28,14,67,0.5,47.0,18.0,22.0,30.0,16.0,38.0,47.0
3,26,28,11,77,0.5,47.0,18.0,22.0,34.0,12.0,38.0,47.0
4,33,38,22,136,0.7,46.0,9.0,12.0,19.0,70.0,32.0,70.0
3,24,52,23,135,0.6,47.0,20.0,99.0,17.0,71.0,35.0,99.0
5,24,51,27,167,0.7,45.0,20.0,100.0,11.0,144.0,32.0,144.0
4,19,38,16,108,0.5,46.0,26.0,12.0,27.0,93.0,38.0,93.0
4,19,37,16,113,0.5,46.0,26.0,13.0,27.0,89.0,38.0,89.0
3,13,22,6,75,0.5,47.0,34.0,28.0,41.0,12.0,38.0,47.0
3,12,22,7,67,0.4,47.0,35.0,28.0,40.0,16.0,40.0,47.0
2,12,24,7,62,0.4,48.0,35.0,26.0,40.0,19.0,40.0,48.0
3,13,24,10,60,0.4,47.0,34.0,26.0,36.0,20.0,40.0,47.0
5,12,25,11,59,0.4,45.0,35.0,25.0,34.0,20.0,40.0,45.0
5,10,26,10,75,0.4,45.0,38.0,24.0,36.0,12.0,40.0,45.0
4,10,25,7,66,0.4,46.0,38.0,25.0,40.0,17.0,40.0,46.0
4,12,23,6,59,0.4,46.0,35.0,27.0,41.0,20.0,40.0,46.0
4,13,23,6,54,0.4,46.0,34.0,27.0,41.0,23.0,40.0,46.0
3,10,23,8,73,0.4,47.0,38.0,27.0,39.0,14.0,40.0,47.0
3,11,24,8,56,0.4,47.0,36.0,26.0,39.0,22.0,40.0,47.0
3,11,21,5,63,0.4,47.0,36.0,29.0,43.0,18.0,40.0,47.0
2,10,18,4,74,0.4,48.0,38.0,32.0,44.0,13.0,40.0,48.0
2,12,19,4,81,0.4,48.0,35.0,31.0,44.0,10.0,40.0,48.0
4,26,23,7,44,0.5,46.0,18.0,27.0,40.0,28.0,38.0,46.0
7,35,24,10,65,0.6,43.0,6.0,26.0,36.0,18.0,35.0,43.0
6,21,24,7,72,0.5,44.0,24.0,26.0,40.0,14.0,38.0,44.0
8,16,20,5,79,0.4,42.0,30.0,30.0,43.0,10.0,40.0,43.0
6,16,22,4,75,0.4,44.0,30.0,28.0,44.0,12.0,40.0,44.0
6,17,25,5,58,0.4,44.0,29.0,25.0,43.0,21.0,40.0,44.0
5,16,30,9,76,0.5,45.0,30.0,20.0,37.0,12.0,38.0,45.0
5,19,22,9,83,0.5,45.0,26.0,28.0,37.0,8.0,38.0,45.0
3,29,16,5,58,0.5,47.0,14.0,34.0,43.0,21.0,38.0,47.0
3,32,24,8,47,0.5,47.0,10.0,26.0,39.0,26.0,38.0,47.0
3,25,32,11,84,0.6,47.0,19.0,18.0,34.0,8.0,35.0,47.0
3,25,22,8,59,0.6,47.0,19.0,28.0,39.0,20.0,35.0,47.0
7,30,40,18,168,0.6,43.0,12.0,10.0,24.0,143.0,35.0,143.0
12,32,58,34,212,0.7,38.0,10.0,96.0,1.0,103.0,32.0,103.0
8,19,38,24,192,0.6,42.0,26.0,12.0,16.0,121.0,35.0,121.0
8,23,37,17,197,0.5,42.0,21.0,13.0,26.0,116.0,38.0,116.0
8,24,23,6,88,0.4,42.0,20.0,27.0,41.0,6.0,40.0,42.0
8,27,23,7,93,0.4,42.0,16.0,27.0,40.0,4.0,40.0,42.0
8,26,30,8,86,0.4,42.0,18.0,20.0,39.0,7.0,40.0,42.0
7,21,18,4,46,0.4,43.0,24.0,32.0,44.0,27.0,40.0,44.0
6,27,21,4,35,0.4,44.0,16.0,29.0,44.0,32.0,40.0,44.0
5,17,22,5,35,0.4,45.0,29.0,28.0,43.0,32.0,40.0,45.0
5,16,26,8,67,0.4,45.0,30.0,24.0,39.0,16.0,40.0,45.0
5,13,26,9,64,0.4,45.0,34.0,24.0,37.0,18.0,40.0,45.0
4,19,26,8,45,0.4,46.0,26.0,24.0,39.0,28.0,40.0,46.0
5,15,28,10,87,0.4,45.0,31.0,22.0,36.0,6.0,40.0,45.0
5,13,30,12,96,0.4,45.0,34.0,20.0,33.0,2.0,40.0,45.0
7,12,33,13,96,0.4,43.0,35.0,17.0,31.0,2.0,40.0,43.0
6,16,35,15,95,0.4,44.0,30.0,15.0,29.0,2.0,40.0,44.0
4,34,22,12,88,0.4,46.0,8.0,28.0,33.0,6.0,40.0,46.0
4,29,22,12,62,0.4,46.0,14.0,28.0,33.0,19.0,40.0,46.0
5,38,32,16,49,0.5,45.0,2.0,18.0,27.0,26.0,38.0,45.0
5,25,32,16,90,0.5,45.0,19.0,18.0,27.0,5.0,38.0,45.0
4,32,34,14,65,0.4,46.0,10.0,16.0,30.0,18.0,40.0,46.0
4,15,34,14,68,0.4,46.0,31.0,16.0,30.0,16.0,40.0,46.0
5,16,33,13,65,0.4,45.0,30.0,17.0,31.0,18.0,40.0,45.0
6,14,33,13,59,0.5,44.0,32.0,17.0,31.0,20.0,38.0,44.0
5,11,32,12,54,0.5,45.0,36.0,18.0,33.0,23.0,38.0,45.0
5,8,33,12,69,0.5,45.0,40.0,17.0,33.0,16.0,38.0,45.0
6,10,31,10,74,0.5,44.0,38.0,19.0,36.0,13.0,38.0,44.0
6,12,34,13,67,0.5,44.0,35.0,16.0,31.0,16.0,38.0,44.0
6,10,27,10,93,0.4,44.0,38.0,23.0,36.0,4.0,40.0,44.0
6,19,21,4,64,0.4,44.0,26.0,29.0,44.0,18.0,40.0,44.0
6,25,25,4,39,0.4,44.0,19.0,25.0,44.0,30.0,40.0,44.0
5,18,18,3,54,0.4,45.0,28.0,32.0,46.0,23.0,40.0,46.0
5,15,18,3,64,0.4,45.0,31.0,32.0,46.0,18.0,40.0,46.0
7,17,28,12,146,0.4,43.0,29.0,22.0,33.0,62.0,40.0,62.0
6,13,20,5,81,0.4,44.0,34.0,30.0,43.0,10.0,40.0,44.0
6,11,20,3,63,0.3,44.0,36.0,30.0,46.0,18.0,42.0,46.0
6,11,17,5,81,0.4,44.0,36.0,33.0,43.0,10.0,40.0,44.0
